"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3610","Ptpn12",-0.795410222156479,2.32701773285366,-6.12293547376996,2.72481755383665e-05,0.101717439284722,2.33180018500368
"15","Hdac1",0.593980172010541,4.74109272063969,5.50223742687202,8.003959827298e-05,0.149393910176517,1.57424624468469
"2","Cul4b",1.09714007398384,1.737740565197,5.17875165097321,0.000143310333552195,0.158601105538985,1.03516342090424
"25","Trim56",0.60217030519382,4.53620949118947,4.89814087407445,0.000240202144530456,0.158601105538985,0.646710162406323
"103","Top2b",0.377931538464594,6.22891494445462,4.84073601490704,0.000267299157992709,0.158601105538985,0.610270788995574
"16","Ubtf",0.564809010091547,6.82406434589725,4.65502181331006,0.000378766459988227,0.158601105538985,0.302284518163964
"42","Srbd1",0.457856466796322,2.42259704770878,4.6557615711533,0.000378237868496231,0.158601105538985,0.226219985817236
"32","Cyp20a1",0.492210840384787,2.39771215085799,4.64999849704174,0.000382376091575371,0.158601105538985,0.21768515385172
"51","Cnbp",0.430770074021493,3.52091900589863,4.65754192321396,0.000376968844654683,0.158601105538985,0.204814304652865
"17","Ppig",0.640990329577116,4.79667789121927,4.51648521926513,0.000492532378528699,0.173379250682553,0.0526174423669943
"3539","Ebp",-0.489641515082993,4.43043393971222,-4.46775634034662,0.000540477122119984,0.173379250682553,-0.0408104593361029
"84","Ddx21",0.421061632275719,6.28245424761567,4.4347123908775,0.000575702341842676,0.173379250682553,-0.0570052987334311
"230","Pml",0.329280314541569,6.80820304603473,4.33201694729472,0.000701029058286327,0.173379250682553,-0.231952483414544
"3611","Trip12",-1.11304961779712,3.11675324663844,-4.36330948409314,0.000660117679150993,0.173379250682553,-0.245980375376638
"44","Tomm34",0.409602322605669,5.32854014906974,4.2834109203099,0.000769811120205468,0.173379250682553,-0.318134984454312
"3604","Cyp4a12a",-0.588637990884127,8.68630315039978,-4.28085622406487,0.000773612406124858,0.173379250682553,-0.362203289765685
"157","Ppan",0.389647754324404,4.36128144617619,4.25340682283152,0.0008156922815697,0.173379250682553,-0.392892595615878
"3","Rnf214",0.832848799593528,3.74044789144558,4.24066886743814,0.000836010316712014,0.173379250682553,-0.437785667134341
"184","Kng2",0.352408564577812,5.75822266573456,4.189942400691,0.000922210004252135,0.181189997151222,-0.471243772883991
"10","Top1",0.526655371331217,6.35965941411021,4.10168700414214,0.00109451332321839,0.194562773122583,-0.620620768355395
"20","Srebf1",0.659024837464125,5.2291183636472,4.10261822756084,0.00109253299751829,0.194562773122583,-0.624719797538063
"14","Rplp1",0.563859549531321,7.30016232132929,3.92885150585005,0.00153364639153695,0.216580936543669,-0.920792619305565
"43","Wars1",0.604207404929767,5.34741493804351,3.92231187161944,0.00155341715241852,0.216580936543669,-0.930872355238392
"5","Ndufaf8",0.547730906799244,3.81249819401159,3.93819731990164,0.00150583595330924,0.216580936543669,-0.931190583554868
"3274","Dtd2",-0.269030707669316,5.51569173545911,-3.88672813912,0.00166563546554076,0.216580936543669,-0.991105539407164
"37","Ube2j1",0.48723644146952,6.34824256887144,3.88466597076133,0.00167238637182395,0.216580936543669,-0.994004033968153
"240","Rbbp6",0.299834965308131,6.44495992114104,3.88346800503186,0.00167632092465398,0.216580936543669,-0.996057162397239
"38","Sdhaf4",0.380302932180244,6.55847438606263,3.88158634670366,0.00168251999993742,0.216580936543669,-0.999395414055178
"135","Sirt3",0.319719744428451,3.31619903806853,3.89043039866613,0.00165358491873045,0.216580936543669,-1.01987009296773
"33","Ndufv3",0.578305760830991,8.00801328467695,3.84352090343648,0.00181305908728407,0.225604985761047,-1.07252761098633
"3562","Gsta4",-0.400042611423061,8.59817265473867,-3.7886774405399,0.00201947294835869,0.23132264835656,-1.17205086882747
"167","Fcho2",0.29174892825457,6.93408641923612,3.74986690951493,0.00217982737803393,0.23132264835656,-1.22765568155112
"129","Icam1",0.398811909093618,6.04328461822437,3.74275190339158,0.0022105972623894,0.23132264835656,-1.24030641826106
"117","Steep1",0.316232995686593,2.38783432246342,3.74777088851567,0.00218884652318352,0.23132264835656,-1.24371200284756
"95","H2-K1",0.367191785479077,5.43678725366389,3.72867855056556,0.00227276305799429,0.23132264835656,-1.26432765061284
"3603","Eif2b3",-0.461555946461179,2.31432639702472,-3.7296173865092,0.002268561330387,0.23132264835656,-1.27361186474445
"153","Kgd4",0.418573862694797,5.42301001218458,3.69822083801231,0.00241344035036182,0.23132264835656,-1.31708923729549
"201","Pds5b",0.364155308588282,2.90413735401697,3.704866299712,0.00238201218187826,0.23132264835656,-1.32072307971451
"3494","Usp14",-0.293193486587289,6.73742196542422,-3.69237404873293,0.002441438564523,0.23132264835656,-1.32778215714097
